,neutral,positive,negative
music,50.951913640824344,36.918547595682035,12.12953876349362
politics,54.182072549215555,13.220745478165286,32.59718197261917
science,75.19767629498145,14.006777472970791,10.795546232047764
art,54.17875032955444,33.008172950171364,12.81307672027419
sport,42.95924064768286,52.071468453378,4.96929089893914
funny,53.29764863314854,30.35748422863697,16.344867138214493
games,65.62105642689741,21.894717865512888,12.484225707589689
